date,total_spend
2024-09-20,2002391308.72
2024-09-23,1952873.12
2024-09-24,129288786.88
2024-09-26,22745974.240000002
2024-09-27,313453496.4
2024-09-30,22830606.48
2024-10-01,37962366.64
2024-10-02,25570.16
2024-10-03,264206.8
2024-10-04,292067328.08
2024-10-07,6496688.88
2024-10-08,11440305.36
2024-10-09,91999385.28
2024-10-10,15048.0
2024-10-11,202933661.04000002
2024-10-14,1298167.2
2024-10-16,12243644.16
2024-10-18,196070769.84
2024-10-21,1334551.6800000002
2024-10-22,67598041.28
2024-10-23,609547980.8
2024-10-24,96356276.72
2024-10-25,190423202.64000002
2024-10-26,2896960.0
2024-10-28,1368102.56
2024-10-30,6707125.92
2024-10-31,34285336.8
2024-11-01,214917589.04
2024-11-04,1406782.08
2024-11-05,31571604.24
2024-11-08,148719479.92000002
2024-11-11,1075414.56
2024-11-13,7336270.48
2024-11-15,307807197.28000003
2024-11-18,752143192.2399999
2024-11-20,0.0
2024-11-21,12461842.799999999
2024-11-22,135943067.04
2024-11-25,9134821.52
2024-11-26,28909663.2
2024-11-27,77361204.8
2024-11-29,103262454.24000001
2024-11-30,17992040.88
2024-12-01,475200.0
2024-12-02,474091.19999999995
2024-12-03,42339894.96
2024-12-06,109659558.8
2024-12-09,501199.6
2024-12-11,26594796.8
2024-12-12,120755.36
2024-12-13,66002850.32
2024-12-16,33466899.84
2024-12-18,289289.44
2024-12-19,294641.600000001
2024-12-20,452089465.52
2024-12-23,9819553.92
2024-12-26,7111774.5600000005
2024-12-27,104418583.28
2024-12-30,36125032.239999995
2024-12-31,18261002.319999993
2025-01-01,475200.0
2025-01-06,33197853.92
2025-01-10,265047954.16
2025-01-11,50072966.24
2025-01-14,5699386.88
2025-01-15,95358204.48
2025-01-16,7287082.0
2025-01-17,28545799.919999998
2025-01-27,13552000.0
2025-01-28,11964867.200000001
2025-04-02,71852586.96000001
2025-04-24,22000.0
